STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,2005,,479.461,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,2005,,75.339,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1975,,20.447,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1975,,532.481,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1972,,86.218,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1972,,87.024,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1972,,0.842,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1972,,147.759,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1972,,25.556,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1979,,0.854,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1979,,326.314,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1979,,22.335,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1979,,4.74,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1974,,452.744,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1974,,4.143,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1974,,7.353,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1974,,1.679,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1974,,77.168,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1973,,6.828,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1973,,1.645,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1973,,75.902,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1973,,92.668,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1975,,53.503,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1975,,10.048,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1975,,415.799,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1975,,9.071,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1989,,15.656,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1989,,396.907,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1983,,129.936,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1983,,11.763,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1983,,843.559,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1983,,61.85,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1983,,1104.594,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1986,,5.125,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1986,,6.437,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1986,,1.939,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1982,,1044.528,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1982,,4.498,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1982,,8.228,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1982,,77.307,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1984,,454.391,,A,,,,,,,
