Date,CO2
1973-01-01,373.407
1974-01-01,356.457
1975-01-01,337.741
1976-01-01,337.208
1977-01-01,318.358
1978-01-01,305.767
1979-01-01,331.514
1980-01-01,290.869
1981-01-01,291.968
1982-01-01,236.951
1983-01-01,231.501
1984-01-01,264.044
1985-01-01,256.591
1986-01-01,247.059
1987-01-01,249.882
1988-01-01,264.667
1989-01-01,260.936
1990-01-01,258.027
1991-01-01,244.101
1992-01-01,235.651
1993-01-01,233.257
1994-01-01,234.448
1995-01-01,232.482
1996-01-01,227.228
1997-01-01,223.750
1998-01-01,218.829
1999-01-01,208.568
2000-01-01,211.105
2001-01-01,204.724
2002-01-01,187.359
2003-01-01,189.232
2004-01-01,189.835
2005-01-01,182.286
2006-01-01,179.554
2007-01-01,174.788
2008-01-01,168.060
2009-01-01,130.792
2010-01-01,152.500
2011-01-01,145.839
2012-01-01,141.515
2013-01-01,144.588
2014-01-01,143.514
2015-01-01,129.479
2016-01-01,113.266
2017-01-01,112.204
2018-01-01,110.654
2019-01-01,104.720
2020-01-01,88.126
2021-01-01,97.136
2022-01-01,92.612
