Date,Industrial_Production
1973-01-01,45.0482
1974-01-01,44.9168
1975-01-01,40.9148
1976-01-01,44.1414
1977-01-01,47.5167
1978-01-01,50.1312
1979-01-01,51.6319
1980-01-01,50.2955
1981-01-01,50.9565
1982-01-01,48.3154
1983-01-01,49.6408
1984-01-01,54.0655
1985-01-01,54.7277
1986-01-01,55.2824
1987-01-01,58.1642
1988-01-01,61.1738
1989-01-01,61.7278
1990-01-01,62.3214
1991-01-01,61.4030
1992-01-01,63.1992
1993-01-01,65.2758
1994-01-01,68.7134
1995-01-01,71.8983
1996-01-01,75.1660
1997-01-01,80.5691
1998-01-01,85.3082
1999-01-01,89.0374
2000-01-01,92.4897
2001-01-01,89.6854
2002-01-01,89.9769
2003-01-01,91.1421
2004-01-01,93.5780
2005-01-01,96.7151
2006-01-01,98.9211
2007-01-01,101.4575
2008-01-01,97.9459
2009-01-01,86.7965
2010-01-01,91.6217
2011-01-01,94.5005
2012-01-01,97.3640
2013-01-01,99.3262
2014-01-01,102.3056
2015-01-01,100.8622
2016-01-01,98.6951
2017-01-01,100.0000
2018-01-01,103.1566
2019-01-01,102.4319
2020-01-01,95.1240
2021-01-01,99.3001
2022-01-01,102.7129
