,Location,Date,Value
0,Australia,1970,
1,Austria,1970,4.8
2,Belgium,1970,3.9
3,Canada,1970,6.3
4,Chile,1970,
5,Colombia,1970,
6,Costa Rica,1970,
7,Czech Republic,1970,
8,Denmark,1970,
9,Estonia,1970,
10,Finland,1970,5.0
11,France,1970,5.2
12,Germany,1970,5.7
13,Greece,1970,
14,Hungary,1970,
15,Iceland,1970,4.7
16,Ireland,1970,4.9
17,Israel,1970,
18,Italy,1970,
19,Japan,1970,4.3
20,Latvia,1970,
21,Lithuania,1970,
22,Luxembourg,1970,
23,Mexico,1970,
24,Netherlands,1970,
25,New Zealand,1970,5.1
26,Norway,1970,4.0
27,Poland,1970,
28,Portugal,1970,2.3
29,Slovakia,1970,
30,Slovenia,1970,
31,South Korea,1970,2.6
32,Spain,1970,3.1
33,Sweden,1970,5.4
34,Switzerland,1970,4.8
35,Turkey,1970,
36,United Kingdom,1970,4.0
37,United States,1970,6.2
38,Australia,1980,5.8
39,Austria,1980,7.0
40,Belgium,1980,6.2
41,Canada,1980,6.5
42,Chile,1980,
43,Colombia,1980,
44,Costa Rica,1980,
45,Czech Republic,1980,
46,Denmark,1980,8.4
47,Estonia,1980,
48,Finland,1980,5.9
49,France,1980,6.8
50,Germany,1980,8.1
51,Greece,1980,
52,Hungary,1980,
53,Iceland,1980,5.9
54,Ireland,1980,7.5
55,Israel,1980,6.7
56,Italy,1980,
57,Japan,1980,6.1
58,Latvia,1980,
59,Lithuania,1980,
60,Luxembourg,1980,4.8
61,Mexico,1980,
62,Netherlands,1980,6.5
63,New Zealand,1980,5.8
64,Norway,1980,5.4
65,Poland,1980,
66,Portugal,1980,4.8
67,Slovakia,1980,
68,Slovenia,1980,
69,South Korea,1980,3.4
70,Spain,1980,5.0
71,Sweden,1980,7.7
72,Switzerland,1980,6.4
73,Turkey,1980,2.4
74,United Kingdom,1980,5.1
75,United States,1980,8.2
76,Australia,1990,6.5
77,Austria,1990,7.7
78,Belgium,1990,7.1
79,Canada,1990,8.4
80,Chile,1990,
81,Colombia,1990,
82,Costa Rica,1990,
83,Czech Republic,1990,3.7
84,Denmark,1990,8.0
85,Estonia,1990,
86,Finland,1990,7.3
87,France,1990,8.0
88,Germany,1990,8.0
89,Greece,1990,6.1
90,Hungary,1990,
91,Iceland,1990,7.4
92,Ireland,1990,5.6
93,Israel,1990,6.2
94,Italy,1990,7.0
95,Japan,1990,5.7
96,Latvia,1990,
97,Lithuania,1990,
98,Luxembourg,1990,5.3
99,Mexico,1990,
100,Netherlands,1990,7.0
101,New Zealand,1990,6.7
102,Norway,1990,7.1
103,Poland,1990,4.3
104,Portugal,1990,5.5
105,Slovakia,1990,
106,Slovenia,1990,
